name,year,attendee_count
Kings Island,2009,3000000
Kings Island,2008,3126000
Kings Island,2007,3050000
Kings Island,2006,3050000
Knott's Berry Farm,2023,4228000
Knott's Berry Farm,2022,3899000
Knott's Berry Farm,2021,3681000
Knott's Berry Farm,2020,811000
Knott's Berry Farm,2019,4238000
Knott's Berry Farm,2018,4115000
Knott's Berry Farm,2017,4034000
Knott's Berry Farm,2016,4014000
Knott's Berry Farm,2015,3867000
Knott's Berry Farm,2014,3683000
Knott's Berry Farm,2013,3683000
Knott's Berry Farm,2012,3508000
Knott's Berry Farm,2011,3654000
Knott's Berry Farm,2010,3600000
Knott's Berry Farm,2009,3333000
Knott's Berry Farm,2008,3565000
Knott's Berry Farm,2007,3630000
Knott's Berry Farm,2006,3670000
Islands Of Adventure At Universal Orlando,2023,10000000
Islands Of Adventure At Universal Orlando,2022,11025000
Islands Of Adventure At Universal Orlando,2021,9077000
Islands Of Adventure At Universal Orlando,2020,4005000
Islands Of Adventure At Universal Orlando,2019,10375000
Islands Of Adventure At Universal Orlando,2018,9788000
Islands Of Adventure At Universal Orlando,2017,9549000
Islands Of Adventure At Universal Orlando,2016,9362000
Islands Of Adventure At Universal Orlando,2015,8792000
Islands Of Adventure At Universal Orlando,2014,8141000
Islands Of Adventure At Universal Orlando,2013,8141000
Islands Of Adventure At Universal Orlando,2012,7981000
Islands Of Adventure At Universal Orlando,2011,7674000
Islands Of Adventure At Universal Orlando,2010,5949000
Islands Of Adventure At Universal Orlando,2009,4627000
Islands Of Adventure At Universal Orlando,2008,5297000
Islands Of Adventure At Universal Orlando,2007,5430000
Islands Of Adventure At Universal Orlando,2006,5300000
Universal Studios At Universal Orlando,2023,9750000
Universal Studios At Universal Orlando,2022,10750000
Universal Studios At Universal Orlando,2021,8987000
Universal Studios At Universal Orlando,2020,4096000
Universal Studios At Universal Orlando,2019,10922000
Universal Studios At Universal Orlando,2018,10708000
Universal Studios At Universal Orlando,2017,10198000
Universal Studios At Universal Orlando,2016,9998000
Universal Studios At Universal Orlando,2015,9585000
Universal Studios At Universal Orlando,2014,8263000
Universal Studios At Universal Orlando,2013,7062000
Universal Studios At Universal Orlando,2012,6195000
Universal Studios At Universal Orlando,2011,6044000
Universal Studios At Universal Orlando,2010,5925000
Universal Studios At Universal Orlando,2009,5530000
Universal Studios At Universal Orlando,2008,6231000
Universal Studios At Universal Orlando,2007,6200000
Universal Studios At Universal Orlando,2006,6000000
Universal Studios Hollywood,2023,9660000
Universal Studios Hollywood,2022,8400000
Universal Studios Hollywood,2021,5505000
Universal Studios Hollywood,2020,1299000
Universal Studios Hollywood,2019,9147000
Universal Studios Hollywood,2018,9147000
Universal Studios Hollywood,2017,9056000
Universal Studios Hollywood,2016,8086000
Universal Studios Hollywood,2015,7097000
Universal Studios Hollywood,2014,6824000
Universal Studios Hollywood,2013,6148000
Universal Studios Hollywood,2012,5912000
Universal Studios Hollywood,2011,5141000
Universal Studios Hollywood,2010,5040000
Universal Studios Hollywood,2009,4308000
Universal Studios Hollywood,2008,4583000
Universal Studios Hollywood,2007,4700000
Universal Studios Hollywood,2006,4700000
La Feria De Chapultepec,2017,1591000
La Feria De Chapultepec,2016,1591000
La Feria De Chapultepec,2015,1584000
La Feria De Chapultepec,2014,1552000
La Feria De Chapultepec,2013,1537000
La Feria De Chapultepec,2012,1537000
Parque Xcaret,2017,1505000
Parque Xcaret,2016,1401000
Parque Xcaret,2015,1287000
Parque Xcaret,2014,1212000
Parque Xcaret,2013,1200000
Mundo Petapa,2017,1239000
Mundo Petapa,2016,1220000
Mundo Petapa,2015,1199000
Mundo Petapa,2014,1138000
Mundo Petapa,2013,1056000
Mundo Petapa,2012,1253000
Plaza De Sesamo,2017,1197000
Plaza De Sesamo,2016,1221000
Plaza De Sesamo,2015,1221000
Plaza De Sesamo,2014,1221000
Plaza De Sesamo,2013,1209000
Plaza De Sesamo,2012,1197000
Parque Mundo Aventura,2017,1153000
Parque Mundo Aventura,2016,1180000
Parque Mundo Aventura,2015,1389000
Parque Mundo Aventura,2014,1423000
Parque Mundo Aventura,2013,1152000
Parque Mundo Aventura,2012,1065000
Fantasialandia,2017,1050000
Fantasialandia,2016,1085000
Fantasialandia,2015,1003000
Fantasialandia,2014,1111000
Fantasialandia,2013,1086000
Fantasialandia,2012,1070000
Hopi Hari,2017,1028000
Hopi Hari,2016,1468000
Hopi Hari,2015,1668000
Hopi Hari,2014,1668000
Hopi Hari,2013,1685000
Hopi Hari,2012,1628000
Theme Parque Nacional Del Cafe,2017,966000
Theme Parque Nacional Del Cafe,2016,1050000
Theme Parque Nacional Del Cafe,2015,1000000
Typhoon Lagoon At Disney World,2017,2163000
Typhoon Lagoon At Disney World,2016,2277000
Typhoon Lagoon At Disney World,2015,2294000
Typhoon Lagoon At Disney World,2014,2185000
Typhoon Lagoon At Disney World,2013,2142000
Typhoon Lagoon At Disney World,2012,2100000
Blizzard Beach At Disney World,2017,1945000
Blizzard Beach At Disney World,2016,2091000
Blizzard Beach At Disney World,2015,2107000
Blizzard Beach At Disney World,2014,2007000
Blizzard Beach At Disney World,2013,1968000
Blizzard Beach At Disney World,2012,1929000
Universal’s Volcano Bay,2017,1500000
Universal’s Volcano Bay,2016,0
Aquatica Orlando,2023,1437000
Aquatica Orlando,2022,1548000
Aquatica Orlando,2021,1147000
Aquatica Orlando,2020,528000
Aquatica Orlando,2019,1533000
Aquatica Orlando,2018,1556000
Aquatica Orlando,2017,1382000
Aquatica Orlando,2016,1536000
Aquatica Orlando,2015,1600000
Aquatica Orlando,2014,1569000
Aquatica Orlando,2013,1553000
Aquatica Orlando,2012,1538000
Aquatica Orlando,2011,1500000
